Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
60,15440826,LIH.YUN,"2026-04-13 07:16:46",0.85,3,fxlcee
61,15429929,Snow,"2026-04-13 07:14:18",0.85,28,tasniemnasser
62,15416696,hongan,"2026-04-12 21:50:13",0.85,1,honganzhu
63,15480730,"The Swimmer","2026-04-13 19:19:56",0.85,5,"omarafik,theswimmer"
64,15427441,zigo,"2026-04-13 19:41:31",0.85,40,zigohr
65,15527623,Haraguchi-T,"2026-04-13 13:40:35",0.85,39,haraguchit
66,15538207,"Reasoning Rockets","2026-04-12 23:33:09",0.85,18,"assiaben,hammadfarooq470,patharanor"
67,15416750,kglctf,"2026-04-13 17:31:58",0.85,84,kglctf
68,15455401,Noizersam,"2026-04-13 01:35:36",0.85,16,noizersam
69,15445809,haru_1205,"2026-04-13 01:43:01",0.85,5,haru1205
70,15418519,"WE STOLE GPU","2026-04-13 12:13:29",0.85,51,"adarsh2626,ibrahimqasimi,johndoe2011,rouiou"
71,15492424,"Yihao Guo","2026-04-13 14:53:28",0.85,13,guoyihao
72,15603436,"Ryan #2","2026-04-13 02:04:25",0.85,2,ryanet
73,15421522,xsong2020,"2026-04-13 03:27:03",0.85,9,xstargate
74,15417074,"Timmy Juicehouse","2026-04-13 02:14:29",0.85,7,sweetyheehee
75,15445987,"Ease Gao","2026-04-13 12:35:23",0.85,24,gojay001
76,15466585,kokomi,"2026-04-13 03:04:51",0.85,6,koukoumi
77,15416977,"less submissions","2026-04-13 05:45:14",0.85,6,jiaoyouzhang
78,15522928,OopsLe,"2026-04-13 03:38:06",0.85,9,oopsle
79,15417966,"Brothers of Creations","2026-04-13 03:56:27",0.85,9,"praveensivanandham,rahulrathnavel,ramaswamyrama,sivasabari"
80,15419306,"Jing Hua","2026-04-13 14:57:53",0.85,9,linyeping
81,15440555,FIT.FHD,"2026-04-13 04:20:40",0.85,13,nguyendinhhaduong
82,15495258,Yusuraume,"2026-04-13 15:22:28",0.85,43,sugitatomohiko
83,15507094,"Hoang Vux","2026-04-13 12:47:08",0.85,12,hoangvux
84,15446414,"Javier Hernández","2026-04-13 06:28:07",0.85,25,javihm77
85,15602921,oQoXOdK6,"2026-04-13 06:03:19",0.85,1,oqoxodk6
86,15431757,Renoir,"2026-04-13 06:13:33",0.85,56,itahiro
87,15431428,"I want DGX spark","2026-04-13 10:09:06",0.85,44,"bartlomiejkoptyra,dzmitrypihulski,kubagurgul,stanisawwoniak"
88,15422382,"Kevlar Zander Chi","2026-04-13 17:42:02",0.85,6,qhasiinnovationsota
89,15558331,"Pushkar Ambastha","2026-04-13 07:07:26",0.85,3,pushkar007
90,15422829,"Md Boktiar Mahbub Murad","2026-04-13 06:53:47",0.85,5,mbmmurad
91,15422755,datnt114,"2026-04-13 15:05:53",0.85,43,kingkong153
92,15441857,"Lora Lasun","2026-04-13 20:01:31",0.85,13,"aditiprasad24,akritisingh08,himanshuaswal0404,skishanrao"
93,15490692,Sweetgreen,"2026-04-13 07:55:56",0.85,2,yeoyunsianggeremie
94,15420817,"Emre Cirak","2026-04-13 08:33:03",0.85,11,"biohack44,merkiraz"
95,15448082,JK-Piece,"2026-04-13 14:46:51",0.85,22,jeannkouagou
96,15447655,"Jiaxuan Wen","2026-04-13 08:58:39",0.85,5,jwen666
97,15436220,"Yang Jinneng","2026-04-13 08:41:29",0.85,10,adurey
98,15418331,🔥廣東燒鵝🔥,"2026-04-13 13:59:17",0.85,6,"yangjiahua,zejunfool"
99,15417386,dlwzq,"2026-04-13 09:26:28",0.85,2,wuzhiqiang01
100,15437095,Auravana,"2026-04-13 14:23:52",0.85,8,fountainheadle
101,15511310,Hiyato,"2026-04-13 09:47:30",0.85,4,hiyato
102,15468854,"Saulius Tautvaisas","2026-04-13 09:51:00",0.85,5,sauliuzt
103,15432037,sigmaborov,"2026-04-13 09:56:00",0.85,5,sigmaborov
104,15481522,gomerry,"2026-04-13 10:04:11",0.85,37,shwsun73
105,15466775,"Syunta SEKI","2026-04-13 10:19:58",0.85,5,syuntaseki
106,15463490,高坂麗奈,"2026-04-13 10:42:44",0.85,14,kousakarena
107,15577410,dchaimow,"2026-04-13 10:47:04",0.85,1,dchaimow
108,15558662,"Scenery SunFireInk","2026-04-13 10:52:45",0.85,1,scenerysunfireink
109,15531714,sam_the_rice_cake,"2026-04-13 19:15:59",0.85,18,wliilamsam
110,15462763,"Ken #2","2026-04-13 11:44:39",0.85,24,kensuke77
111,15455439,EISLab_hwlee,"2026-04-13 20:11:40",0.85,15,leeheewon01
112,15589694,"Ivan Aleksandrov","2026-04-13 17:30:03",0.85,5,ivanblch
113,15601929,Star_xinglan,"2026-04-13 12:33:54",0.85,2,starxinglan
114,15422026,bloodmoon,"2026-04-13 18:03:31",0.85,9,bloodmoonwq
115,15420567,Switch9527,"2026-04-13 13:08:10",0.85,2,switch9527
116,15421098,"Van Dong Tran","2026-04-13 13:34:03",0.85,10,vandongtran
117,15420802,today,"2026-04-13 13:37:50",0.85,79,today55
118,15419548,"Komil Parmar","2026-04-13 13:43:00",0.85,10,komilparmar
119,15471217,"no agents, just trauma","2026-04-13 14:00:55",0.85,6,"khilling,tsebaka,zokost"
120,15418100,OverfitOracle,"2026-04-13 20:03:02",0.85,7,alisalmanrana
121,15416679,"₍ᐢ•㉨•ᐢ₎ ₍ᐢ•㉨•ᐢ₎ ₍ᐢ•㉨•ᐢ₎","2026-04-13 14:26:18",0.85,3,tom99763
122,15417735,没落者,"2026-04-13 14:27:01",0.85,14,needless090
123,15440158,"Aurora Rabbit","2026-04-13 18:37:51",0.85,35,nghiahoangtrung
124,15545291,"RITTWIK BHOWMICK","2026-04-13 17:46:42",0.85,8,rittwikbhowmick
125,15420708,"Octavi Grau","2026-04-13 14:42:24",0.85,5,octaviograu
126,15441838,"Lord Meera","2026-04-13 15:10:59",0.85,7,"gajananbarve,meera2305"
127,15420309,"Victor Merckle","2026-04-13 15:19:43",0.85,10,vmerckle
128,15502420,jyothish,"2026-04-13 15:40:49",0.85,2,jyothish
129,15508034,"Yash Mohan","2026-04-13 15:46:39",0.85,10,yashm917
130,15417290,"Jeki Wan Taufik","2026-04-13 15:55:47",0.85,3,jek1wantaufik
131,15609062,"Mimic Mohsin","2026-04-13 19:39:57",0.85,3,mimicmohsin
132,15447899,"Ngoc Nguyen","2026-04-13 16:04:24",0.85,19,opalnguyn
133,15450450,"Nguyen Thanh","2026-04-13 16:10:10",0.85,3,learntotrainai
134,15417799,rin2401,"2026-04-13 16:10:58",0.85,4,rin2401
135,15607658,"Dmitriy Ch","2026-04-13 16:29:20",0.85,2,dmitriych
136,15495451,vividmind,"2026-04-13 17:05:25",0.85,4,frozenorb
137,15448729,team-EeReum,"2026-04-13 17:07:33",0.85,38,"aaa0342,jheon6,leehyungjoon,minjek,trv449"
138,15504833,FOYSAL,"2026-04-13 17:34:45",0.85,5,foysalemonshanto
139,15477470,SANNNNN,"2026-04-13 17:42:24",0.85,93,"harrytsjan,zuhairsan"
140,15461864,"Pradeep Boopathy","2026-04-13 18:14:35",0.85,19,"nandhinijayabalan21,pradeepboopathy,sheldonjasper,suryar08,venkateshparamasivan"
141,15586371,Casualty,"2026-04-13 18:40:57",0.85,5,hezeming
142,15435132,Ranjithhhhhh7777777,"2026-04-13 18:46:48",0.85,4,ranjithhhhhh7777777
143,15422473,M1R0OFFICIAL,"2026-04-13 19:32:38",0.85,3,m1r0official
144,15609492,Haocheng,"2026-04-13 19:13:54",0.85,1,haocheng
145,15423717,"Mom said, ""i can""","2026-04-13 19:16:42",0.85,11,"kawshikrudra,koushikrudra"
146,15419399,"Mohamed abdelrazik","2026-04-13 19:51:27",0.85,5,mohamed3abdelrazik
147,15430129,"Kishan Vavdara","2026-04-13 19:59:54",0.85,41,"kishanvavdara,ravi20076"
148,15419954,"Just a test","2026-04-09 14:49:02",0.84,35,yiyangzheng
149,15417999,NEMOSPRAKS,"2026-04-13 12:42:55",0.84,44,"aneeshmukkamala,tonylica,yash9439"
150,15463857,"davis denner","2026-04-13 12:31:20",0.84,27,davisdenner
151,15568292,Qiwei,"2026-04-12 22:16:28",0.84,4,qiweiyin
152,15602872,"Anton Tikhonov","2026-04-12 22:44:53",0.84,2,itwastony
153,15440986,Shimei,"2026-04-13 06:38:42",0.84,4,skgone123
154,15493223,"Nam Lê Phương","2026-04-13 05:26:34",0.84,25,pearpn25
155,15441113,shitmaster,"2026-04-13 09:10:58",0.84,7,shitmaster
156,15566282,FO-SHIZZLE,"2026-04-13 02:18:34",0.84,4,mcw0089
157,15508399,NeMoAgents,"2026-04-13 03:57:25",0.84,48,"smg3290,svanikkolli"
158,15480464,Vexorium,"2026-04-13 05:33:03",0.84,15,bobber
159,15449983,sophiexue,"2026-04-13 03:52:25",0.84,5,sophiexs
160,15574202,"Kevin Petersburg","2026-04-13 04:07:32",0.84,1,kevinpetersburg
161,15465571,"Sujan Adhikari","2026-04-13 04:23:15",0.84,5,sujanadh07
162,15498684,"Patrick Chan","2026-04-13 04:45:13",0.84,7,drpatrickchan
163,15428253,BokingChen,"2026-04-13 04:47:27",0.84,2,chenbaoying
164,15450298,HongyuChen123321,"2026-04-13 04:59:39",0.84,4,hongyuchen123321
165,15516204,shieldersss,"2026-04-13 05:00:26",0.84,5,"dogtwice,shieldersss"
166,15462737,"Arnav Mishra02","2026-04-13 09:53:56",0.84,42,"arnavmishra02,kartiktripathi98,riteshrana475,vanshikanimwal,vansika545"
167,15554736,BaAis,"2026-04-13 06:52:59",0.84,2,aeyeee
168,15545786,WWzhhzWW,"2026-04-13 07:02:11",0.84,2,wwzhhzww
169,15417167,NameUltron,"2026-04-13 07:05:22",0.84,17,arthurroland
170,15539653,coolkid14122,"2026-04-13 07:32:58",0.84,15,"ckkckckckc,coolkid14122"
171,15417260,"Yoshinari Kawashima","2026-04-13 07:43:30",0.84,10,"taikiyamamura,yoshinarikawashima"
172,15418406,"Finding Nemo...tron","2026-04-13 07:51:45",0.84,6,nihilisticneuralnet
173,15458951,hungwlor,"2026-04-13 08:07:07",0.84,16,hungnquyen
174,15544504,"Richard Maddox","2026-04-13 08:33:54",0.84,5,richardmaddox
175,15426567,"rivee Ji","2026-04-13 09:15:35",0.84,1,riveeji
176,15581496,"rz cao","2026-04-13 19:27:25",0.84,13,caoruizhe
177,15416932,Vflops,"2026-04-13 09:33:15",0.84,10,victorogobi
178,15418564,"Kunal Aarse","2026-04-13 10:21:22",0.84,4,"kunalinfinite,rajveerstar"
179,15426076,"Grzegorz Sionkowski","2026-04-13 11:42:10",0.84,4,sionek
180,15446466,Chrysan,"2026-04-13 12:36:10",0.84,2,dzakyprastiadi
181,15530658,takutokk,"2026-04-13 12:47:22",0.84,3,takutokk
182,15418937,ZIRENLI-001,"2026-04-13 12:55:31",0.84,3,zirenli0000
183,15469017,Saber,"2026-04-13 12:57:08",0.84,12,yzheng21
184,15449522,OxD009,"2026-04-13 13:13:28",0.84,9,oxd009
185,15471075,Rensyu,"2026-04-13 13:36:15",0.84,4,rensyu
186,15432033,"Vladislav Lavrentev","2026-04-13 14:00:56",0.84,9,lightningv08
187,15591085,Aindriú,"2026-04-13 14:08:35",0.84,2,andtem2000
188,15418888,"Sangram Patil","2026-04-13 14:18:01",0.84,18,sangrampatil5150
189,15531824,Yellow,"2026-04-13 14:24:29",0.84,6,chandlerstar
190,15420790,QianYuu,"2026-04-13 14:49:10",0.84,15,qianyuu
191,15609482,"Potato Digger","2026-04-13 14:57:43",0.84,1,potatodigger
192,15435340,"Harish Azka Firdaus","2026-04-13 15:16:09",0.84,3,harishazkafirdaus
193,15530391,Ron506,"2026-04-13 15:39:42",0.84,5,ron506
194,15569477,Wasbyy,"2026-04-13 16:10:30",0.84,6,"egoregors,wasbyy"
195,15438571,"Hang on","2026-04-13 17:23:30",0.84,3,manish756
196,15418789,Ᏸ𐍂Ꭷ,"2026-04-13 17:32:54",0.84,7,dheerajkannaujiya
197,15429270,"Deval Mukherjee1","2026-04-13 17:49:31",0.84,11,devalmukherjee1
198,15435415,"Samyakraj Bayar","2026-04-13 18:18:56",0.84,14,samyakrajbayar
199,15509790,Berkay,"2026-04-13 18:32:49",0.84,15,stormchaser
200,15472883,$epifan$,"2026-04-13 18:50:59",0.84,10,korff16
201,15589668,Jules,"2026-04-13 18:57:26",0.84,3,julesvanligtenberg
202,15466657,Error_1249x,"2026-04-13 19:58:34",0.84,3,error1249x
203,15440767,"Dnyanesh Bharambe","2026-04-13 20:17:30",0.84,3,dnyaneshbharambe
204,15453056,"Chakkrit Termritthikun","2026-04-12 20:28:04",0.84,2,kongpasom
205,15590704,"Seok, Jeongeum","2026-04-12 23:15:13",0.84,4,seokjeongeum
206,15447565,亚洲酷哥,"2026-04-13 03:05:21",0.84,13,"camarillokull,zheyuxin"
207,15467023,"JJ #3","2026-04-13 03:49:19",0.84,14,jerry4083
208,15420861,cloudwantyou@gmail.com,"2026-04-13 03:55:18",0.84,9,dlondmike
209,15570561,tele_team,"2026-04-13 04:48:22",0.84,3,"fengzelin,lvhaisheng,nankago,powerfight,xiaobang728"
210,15575692,HCMUS_HDPE,"2026-04-13 05:16:42",0.84,5,"dvdtom,manhha25022005,nguynhunhtrngc,nhtdngtrn"
211,15602512,"Chen mengxue","2026-04-13 05:40:15",0.84,2,skylar713
212,15446617,GodGod3,"2026-04-13 13:13:36",0.84,12,godgod3
213,15530178,seeding-star-coder-common-people,"2026-04-13 07:05:30",0.84,6,aizealotwu
214,15417032,songling,"2026-04-13 10:15:42",0.84,4,"lvbingrong,oralia"
215,15421175,sue124,"2026-04-13 14:38:56",0.84,7,ryotasueyoshi
216,15485097,"Dmitry V","2026-04-13 13:21:13",0.84,11,sam1dy
217,15456552,ACoder,"2026-04-13 13:16:58",0.84,19,july7p
218,15577594,weiyang,"2026-04-13 14:43:14",0.84,2,weiyangeliu
219,15424339,"Sairaj Adhav","2026-04-13 14:51:04",0.84,22,sai10py
220,15430665,"Atah Alam","2026-04-13 17:27:13",0.84,24,atahalam
221,15441678,eyestrain,"2026-04-13 19:33:36",0.84,1,eyestrain
222,15435841,"Mark Slavin","2026-04-13 20:06:30",0.84,4,markslavin
223,15576212,Damo,"2026-04-13 19:26:14",0.84,12,guanjingwang
224,15429475,"Hibachi Fried Rice","2026-04-13 17:50:30",0.84,12,samvalladares
225,15421349,Attacker,"2026-04-13 05:50:17",0.84,5,aleaiest
226,15417605,"Arunodhayan & Wolf","2026-04-13 18:39:02",0.84,27,"arunodhayan,peilwang"
227,15419094,"Don Mani","2026-04-13 14:10:09",0.84,2,donmarch14
228,15428538,toxu,"2026-04-13 08:56:20",0.83,47,tonyxu
229,15416625,寿!,"2026-04-12 15:34:59",0.82,23,taka3776toshi
230,15495893,"Ertuğrul Demir","2026-04-13 19:22:38",0.82,56,datafan07
231,15416638,"Alice's Wonderland","2026-04-03 17:12:51",0.82,10,"dongcookies,muyouqian4,yizhouxu"
232,15513656,"Pragnyan Ramtha","2026-04-12 11:47:35",0.81,1,pragnyanramtha
233,15523909,"Lora is all you need","2026-04-12 13:43:28",0.81,7,daulettoibazar
234,15530799,lurtage,"2026-04-12 15:17:06",0.81,4,lurtage
235,15475772,DengzYo,"2026-04-12 15:28:47",0.81,10,dengzyo
236,15441399,gorinars,"2026-04-13 12:06:30",0.81,27,gorinars
237,15454364,Tardigrades,"2026-04-12 15:17:26",0.81,10,rxd1218
238,15456954,jan,"2026-04-13 15:44:05",0.81,39,janddd
239,15535531,"Shunsuke Hayashi","2026-04-12 16:45:20",0.81,3,shunsukehayashi1993
240,15426004,"Kumar Abhijeet","2026-04-12 16:47:29",0.81,4,krabhijeet
241,15418106,MarkDjadchenko,"2026-04-12 18:18:17",0.81,2,markdjadchenko
242,15604357,"Umut Toygar Göz","2026-04-12 19:37:25",0.81,1,umuttoygargoz
243,15474771,"Shiv Satyam","2026-04-13 08:35:33",0.81,16,shivsatyam
244,15463450,"Felix Yu","2026-04-12 13:56:32",0.80,7,renman
245,15452656,"Eli Haciyev","2026-04-12 14:10:55",0.80,12,elihaciyev
246,15468411,"NewMes Team","2026-04-10 00:13:47",0.80,9,jacobhaminkim
247,15448035,"LEI ALEX","2026-04-12 13:55:04",0.80,14,leialex
248,15513630,EngelData,"2026-04-12 18:51:05",0.80,3,"christiantazma,engeldata,reoifigg"
249,15427104,Rock,"2026-04-05 15:35:39",0.79,17,rock139
250,15486922,"Sultan Algizani","2026-03-31 06:15:20",0.79,9,sultanalgizani
251,15417273,Pivot,"2026-04-10 03:41:00",0.79,74,"cocoajoa,dahee0628,hyenawon,lucianleenm,sabapivot"
252,15422751,"Spark is All We Need","2026-04-13 08:37:07",0.79,20,"maciejsypetkowski,nataliajakowska"
253,15490704,"Nick Eo","2026-04-10 00:32:19",0.79,14,"dmyoun,lisavictorialee,nickeo"
254,15455805,KW,"2026-04-11 22:12:50",0.79,17,kazuwhite
255,15468162,"Anh Thư Nguyễn","2026-04-06 14:23:48",0.78,13,anhthnguyn204
256,15488992,kambehmw,"2026-04-09 12:40:07",0.78,30,kanbehmw
257,15500354,e-mon,"2026-04-09 05:07:22",0.78,1,eemonn
258,15525584,"Husnain Ali","2026-04-10 21:58:14",0.78,5,hafts11
259,15417376,yanqiangmiffy,"2026-04-08 11:19:29",0.78,2,quincyqiang
260,15431278,"Ramesh Arvind","2026-04-10 11:47:12",0.78,12,rameshln
261,15500778,Ogurtsov,"2026-04-12 18:48:36",0.78,25,ogurtsov
262,15439352,"Hà Hoàng","2026-04-06 14:16:37",0.77,7,hhoang41
263,15468487,"Gideon Choi","2026-04-09 01:22:18",0.77,5,jjin6573
264,15417208,Kh0a,"2026-04-07 23:51:16",0.77,49,llkh0a
265,15471987,"Hassan Algizani","2026-04-01 05:30:58",0.76,3,hassanalgizani
266,15420570,Team,"2026-04-10 11:21:38",0.76,10,"cakiki,conormacamhlaoibh,gfvdcujuzg35,kenyeungtech"
267,15439270,"Blackwell Bandits","2026-04-12 15:09:54",0.76,14,"ashutoshkumar432,nehadas55"
268,15483304,"Diptyajit Das","2026-04-12 02:51:51",0.76,41,diptyajitdas
269,15441044,n-nooobu,"2026-04-11 10:34:21",0.76,15,nishizuminobu
270,15536256,"Your LoRA in April","2026-04-13 01:34:49",0.76,3,"shayml,wgpeng"
271,15569969,"Nurgaliyev Shakhizat","2026-04-13 07:48:14",0.76,10,nurgaliyevshakhizat
272,15437420,"Alice finds Nemo. YUM!","2026-04-09 23:51:53",0.76,46,russcore
273,15416656,MOONMOON,"2026-04-10 06:25:58",0.76,12,kevin1742064161
274,15430150,VSF+1,"2026-04-12 11:59:09",0.76,39,"mathormad,minhtu123,pntan17,trantrikien239"
275,15436436,ThienAnHoangNguyen,"2026-03-31 05:05:52",0.75,10,thienanhoangnguyen
276,15472021,"Shahad aljayzani","2026-03-26 04:26:18",0.75,1,shahadaljayzani
277,15416869,"Enguerand Chretien (quantum)","2026-04-08 23:00:20",0.75,13,enguerandchretien
278,15504847,"Saad Sharif Ahmed","2026-04-13 14:22:13",0.75,6,zeon01
279,15436310,Genetron,"2026-04-13 15:27:25",0.75,30,imagen
280,15417935,sakaku,"2026-04-11 00:59:54",0.75,4,liushuzhi
281,15418537,"Domdolus Tolus","2026-04-11 12:44:53",0.75,12,"alwintheodoric,darrenamadeusmartin,yassirramadhan"
282,15439404,"Arun Kumar MP","2026-04-13 17:30:13",0.75,6,arun728
283,15527829,fam_tron,"2026-04-08 10:32:04",0.75,5,yukkyo
284,15428497,"Giovanny Rodríguez","2026-04-13 10:20:19",0.75,68,giovannyrodrguez
285,15592220,Seagull,"2026-04-13 13:49:49",0.75,4,gitanshuvaghasiya
286,15459392,"Uday Bhatia","2026-04-13 12:06:21",0.75,34,udaybhatia
287,15441357,pranavpoduval,"2026-04-04 18:08:56",0.74,23,pranavpoduval
288,15476847,tamura_aicon,"2026-04-07 06:01:12",0.74,46,hayatetaf
289,15476276,4296,"2026-04-05 12:04:52",0.74,10,wenjacreed
290,15426953,vli,"2026-04-03 03:46:48",0.74,2,victorlifire
291,15503750,"I just dive in dream","2026-04-06 06:49:19",0.74,17,mekory
292,15482053,Breaking1800,"2026-04-12 17:25:11",0.74,29,breaking1800
293,15445591,"Nguyen Duong Trong","2026-04-13 13:10:10",0.74,15,nguyenduongtrong
294,15472006,HaniJezo,"2026-03-27 04:55:18",0.74,1,hanijezo
295,15437147,piooone,"2026-04-05 03:55:42",0.74,5,piooone
296,15440657,Harvey,"2026-04-09 21:51:31",0.74,12,"braydengibson571,harvyk,huankoh,pilarcataldo,stellatalic"
297,15479374,"Teacher chh's research group","2026-04-12 14:48:31",0.74,22,"comistrymo,koifishjinli123,lyzqsqwq,shenchuanqaq,wnxuuu"
298,15488722,"Yusaku Muroya","2026-04-12 05:53:45",0.74,7,ymuroya47
299,15447316,"Sung Heo","2026-04-12 21:39:33",0.74,11,kmmmvs
300,15437457,Player,"2026-03-28 15:01:06",0.74,2,jmxgodlz
301,15472012,"Ahmed Khudair","2026-03-26 17:33:20",0.74,1,ahmedkhudair121
302,15471975,Abdulrahman.su10,"2026-03-27 05:09:45",0.74,1,abdulrahmansu10
303,15431350,"Anida Bath","2026-04-11 10:44:43",0.74,9,matsutake94
304,15454077,"Syed Naazim Hussain","2026-04-06 12:15:11",0.74,12,naazimhussain
305,15450929,Qbit,"2026-04-09 12:55:35",0.74,12,"gbitamrita,qbitsangita,qbitumesh"
306,15419272,BenniB99,"2026-04-12 21:06:24",0.74,39,benjaminbrnau
307,15580049,"Darren Li","2026-04-12 15:56:03",0.74,4,darrenliy
308,15417437,AlaricKeuipo,"2026-04-13 10:51:33",0.74,21,kueipo
309,15428636,konbu17,"2026-04-13 12:32:30",0.74,27,konbu17
310,15434356,i_love_huyen_tran,"2026-03-23 07:15:28",0.73,1,hlly34
311,15416919,Đăng,"2026-03-30 11:43:57",0.73,3,dangnh0611
312,15478255,dongyuehusup,"2026-04-07 23:57:17",0.73,25,dongyuehusup
313,15455043,NamVIDIA,"2026-04-06 13:51:28",0.73,8,"alexsandaer,kevinnqt,nguyennam2001,thanhvu0895,vanngothanh"
314,15418374,just,"2026-04-07 12:18:13",0.73,25,tangtang1999
315,15456050,"Ioannis M","2026-04-13 19:39:08",0.73,20,imeintanis
316,15479240,"Kağan Kağanoğlu","2026-04-12 12:18:33",0.73,17,kagankaganoglu
317,15435737,"Samuel Bartlett","2026-04-07 01:32:04",0.73,5,samuelbartlett1
318,15426839,Hassan1417,"2026-03-26 17:33:12",0.73,1,hassan1417
319,15500545,"Pine Chou","2026-04-13 02:51:31",0.73,14,asonjun
320,15482247,"Minh-Quang Nguyen","2026-04-07 07:55:10",0.73,25,"duykhangh,htamlive,xunthotrn"
